Unnamed: 0,context,head,relation,tail,label
10239,"['tommy had to get repairs done on his car .', 'the repairs were going to cost a couple extra hundred dollars .', ""tommy did n't have any money saved ."", 'he asked his boss if he could work extra hours .', 'tommy worked extra hours to cover the cost of the repairs .']",repairman,AtLocation,repair shop,0
4724,"['carol was driving home from college .', 'she had three hours left and her phone died .', 'she realized she left her car charger behind .', 'she was worried about missing a call from her boyfriend .', 'but worrying caused her to miss her exit and she got lost with no gps .']",PersonX buys a new charger,xNeed,to find out what kind of charger he needs.,0
6547,"['i went to the local record store one day .', 'i saw a few very interesting looking albums .', 'i found one album that just came out and i bought it .', 'i found another record that seemed like a classic .', 'i brought the records home and listened to them whole .']",PersonX finds one 's ___,xReact,that their identity is whole,0
7965,"['fred is turning 18 and getting his license soon .', 'he begged his parents for a new car .', ""his parent 's told him he would have to work for it ."", 'fred was determined to get that new car .', 'he took a job that summer to afford his car .']",PersonX buys a brand new car,oEffect,they drive around in it,0
3744,"['bradley bought a widescreen hd television .', 'he wanted to use it to watch nature documentaries .', 'he invited friends over to see it .', 'he told them that he wanted to watch a documentary .', 'they outvoted him and decided to watch a basketball game instead .']",PersonX invites PersonX's friend over,xIntent,to play games,0
7584,"['dustin loved to wear his baseball cap everywhere he went .', 'on vacation his family visited the windy city of chicago .', ""dustin 's baseball cap blew off his head and into the street ."", ""his dad waited until it was safe before getting dustin 's cap ."", 'he loved his baseball cap even though it was a little dirty .']",safety hat,ObjectUse,wear on a construction site,0
3918,"['hailey wants a bohemian dress for her back to school wardrobe .', 'her mother searched a few stores by herself and could not find one .', 'hailey was sad that they could not find the dress that she wanted .', ""hailey 's mom decided to start looking online for the dress ."", 'soon they found one , ordered it , and hailey was happy again .']",PersonX finds PersonX's mother,xNeed,to look for mother,0
7917,"['fred is turning 18 and getting his license soon .', 'he begged his parents for a new car .', ""his parent 's told him he would have to work for it ."", 'fred was determined to get that new car .', 'he took a job that summer to afford his car .']",PersonX is about to graduate high school,xEffect,Get a job,0
3830,"['bradley bought a widescreen hd television .', 'he wanted to use it to watch nature documentaries .', 'he invited friends over to see it .', 'he told them that he wanted to watch a documentary .', 'they outvoted him and decided to watch a basketball game instead .']",watch television show,xNeed,do,0
4588,"['carol was driving home from college .', 'she had three hours left and her phone died .', 'she realized she left her car charger behind .', 'she was worried about missing a call from her boyfriend .', 'but worrying caused her to miss her exit and she got lost with no gps .']",PersonX drives PersonY home,xNeed,a car,0
4430,"['dan loved to watch dancing with the stars .', 'dan especially loved watching the women do salsa dancing .', 'in addition , dan loved hearing the commentary from the judges .', 'furthermore , dan learned a few moves from watching the show .', 'dan could not wait until next week to watch his favorite show .']",PersonX takes dance lessons,xWant,to learn all styles of dancing,0
6571,"['i went to the local record store one day .', 'i saw a few very interesting looking albums .', 'i found one album that just came out and i bought it .', 'i found another record that seemed like a classic .', 'i brought the records home and listened to them whole .']",PersonX makes an album,HinderedBy,The album is going to cost a lot of money to make.,0
156,"['hank had to wrap a lot of gifts for his family .', 'he ran out of wrapping paper with 4 gifts to go .', 'he went to the kitchen and found shopping bags .', 'he cut up the bags to make sheets of paper .', 'he used the paper to wrap the last of the gifts .']",sheets of paper,ObjectUse,cutout snowflakes,0
4845,"[""jack 's friend works as an insurance broker ."", 'his friend invited jack to come work for him .', ""jack was nervous because he did n't know anything about insurance ."", 'the cute secretary however taught jack everything he needed to know .', 'now jack loves working at the office !']",broker,CapableOf,trade stocks and bonds,0
1700,"['he liked his roommate , and she knew , but he never admitted it .', 'she asked him to spend the day watching movies and having drinks .', 'she sat on his bed , where the surround sound speakers were .', 'she asked if he would miss out on the sound if he sat where he was .', ""he did n't realize she wanted him to sit with her and liked him back .""]",PersonX takes PersonY to a movie,xWant,to watch the movie,0
6963,"['duke wanted to play football on his birthday .', 'ellen wanted duke to go to a movie with her .', 'ellen told duke he could play football after the movie .', 'duke told ellen they could see a movie after football .', 'duke and ellen decided to go see a movie about football .']",football team,MadeUpOf,quarterback,0
5670,"['shawn wanted a bike to ride to school .', 'he often complained to his mom that he wanted the bike .', 'she said when he earned the money , he could have the bike .', 'he saved up his money in a piggy bank .', 'when it was full , shawn broke the piggy bank and bought a bike .']",PersonX buys a bicycle,xNeed,to have money,0
1075,"['troy always wanted to travel across the country .', 'he decided to do research on places he wanted to go .', 'he asked a few friends if they wanted to come .', 'he rented a car with his friends and they started the trip .', 'they had a lot of fun traveling the country .']",rent,ObjectUse,keep landlord happy,0
1859,"['brandon saw an ad where his favorite band was coming to town .', 'he instantly logged onto his computer and bought a ticket .', 'he bought a new outfit for the show .', 'he arrived early to the show to hear the cover band .', 'after the concert , he waited in line and got autographs .']",saw,AtLocation,logging camp,0
2719,"['alex was trying to earn money for a foreign trip .', 'he set up a lemonade stand out front his house .', 'he put up a sign letting everyone know he was in business .', 'a cop stopped by and asked to see his vendor permit .', 'alex took down his stand and slumped back into his house .']",officer,ObjectUse,have fun at an event,0
2379,"['trisha was excited about letting someone live in their house .', ""she put an ad on craig 's list asking for a roommate ."", 'a guy showed up and rented the spare room .', 'trisha thought the guy was cute , so she let him move in .', 'years later the guys still lives there and trisha wonders can he move .']",PersonX finds ___ on craigslist,xIntent,to buy it.,0
746,"['angie took her kids to the park .', 'they played for a long time and then walked back home .', 'when she got home she realized she was locked out .', 'she went to her neighbors to call a locksmith .', 'the locksmith unlocked the door and charged her lots of money .']",play,xNeed,have to play with,0
3227,"['mark wanted to buy a new laptop .', 'he went to the electronics store to check some out .', 'he tested different ones and found the one he liked .', 'then he went home and found the best deal online .', 'he got it within a couple of days and was really happy .']",PersonX buys a laptop,HinderedBy,The store associate told personX that he sold all his laptops.,0
10161,"['kim passed a note to her best friend during third period recess .', 'the teacher caught the passed note and confiscated it .', 'the teacher read the note and turned a crimson color .', ""kim 's note was about how she thought the teacher was cute ."", 'the teacher returned the note to kim with a smile .']",teacher,CapableOf,answer student,0
8347,"['i went shopping on black friday morning with my mom .', 'we stopped at a department store that had great deals that day .', 'i went into the dressing room to try on a few things .', 'i left my own pants in the dressing room with my wallet inside .', 'when i returned to the dressing room , someone had taken the cash out .']",PersonX goes on PersonY,xNeed,Find PersonY,0
9659,"['tom took his clothes out of his dryer .', 'he noticed the clothes did not dry because the heater broke .', 'he hung his clothes out to dry .', 'he told his landlord about the dryer breaking .', 'the landlord ordered a new dryer and it was delivered the next day .']",PersonX tells PersonX's landlord,HinderedBy,PersonX lost the landlords phone number.,0
6444,"['bethany was listening to some music in the car .', 'she suddenly got pulled over by a police officer .', 'the police officer said that she was going 10 miles over the limit .', 'bethany apologized for not paying more attention .', 'the police officer wrote bethany a ticket for $ 50 .']",PersonX is pulled over for speeding,xNeed,Go faster then they should in there car,0
4153,"['jordan decides he must find something to occupy his time .', 'he decides to try playing a game of solitaire .', 'he draws good cards initially , but quits the game before it is over .', 'jordan shuffles the cards and returns them to a drawer .', 'he is happy that he found something to take up a little time .']",PersonX decides to play,xWant,to play with others,0
8460,"['i went shopping on black friday morning with my mom .', 'we stopped at a department store that had great deals that day .', 'i went into the dressing room to try on a few things .', 'i left my own pants in the dressing room with my wallet inside .', 'when i returned to the dressing room , someone had taken the cash out .']",dressing gown,ObjectUse,put on a snowman,0
539,"['mike went to the mall with his mom today .', 'without telling her , he walked away from her and into a toy store .', 'inside the toy store mike realized his mom was no longer with him .', 'mike went back out and found a police officer .', ""the officer called for mike 's mom , and they were reunited .""]",store,ObjectUse,sell the bags at,0
8731,"['dan thought it would be cool to ride a motorcycle .', 'he took a motorcycle license course and passed .', 'he shopped for a bike and found a cool harley .', 'that night , the news showed a man killed on a motorcycle .', ""dan 's new motorcycle gathers dust in the garage .""]",news,AtLocation,newspaper,0
198,"['hank had to wrap a lot of gifts for his family .', 'he ran out of wrapping paper with 4 gifts to go .', 'he went to the kitchen and found shopping bags .', 'he cut up the bags to make sheets of paper .', 'he used the paper to wrap the last of the gifts .']",wrap,ObjectUse,cover leftovers,0
1749,"['he liked his roommate , and she knew , but he never admitted it .', 'she asked him to spend the day watching movies and having drinks .', 'she sat on his bed , where the surround sound speakers were .', 'she asked if he would miss out on the sound if he sat where he was .', ""he did n't realize she wanted him to sit with her and liked him back .""]",PersonX asks PersonY if would be,xAttr,wondering,0
2547,"['alex was trying to earn money for a foreign trip .', 'he set up a lemonade stand out front his house .', 'he put up a sign letting everyone know he was in business .', 'a cop stopped by and asked to see his vendor permit .', 'alex took down his stand and slumped back into his house .']",try,ObjectUse,scoring when playing rugby,0
10581,"['jervis has always loved his neighbors .', 'one day he smells smoke in his apartment building .', 'he calls the fire department and tells all his neighbors to run .', 'luckily everyone is safe from the fire that started .', 'jervis is happy he helped keep his neighbors safe .']",everyone,ObjectUse,discover own true nature,0
8304,"[""jamie was sleeping at a friend 's house ."", ""it was her first time away at a friend 's house ."", 'jamie was scared and missed her home and family .', 'she called her mom to pick her up .', 'jamie went home to sleep in her own bed .']",PersonX is sitting at home,xIntent,to stay home,0
10666,"['daniel was walking around a plaza .', 'he noticed someone familiar across the food court .', 'he tried to get closer by walking towards her .', 'he realized that it was his girlfriend , making out with a guy .', ""the girlfriend told him that there 's a good reason behind her actions .""]",PersonX walks around downtown,xNeed,to read a map,0
9244,"['morgan worked very hard in school .', 'she graduated high school and attended her dream school .', 'whole she was there , her aspirations grew to a double major .', 'but , she had to meet certain requirements to achieve this goal .', 'after much hard work and perseverance , she got accepted .']",letter of acceptance,ObjectUse,get into college,0
7628,"['dustin loved to wear his baseball cap everywhere he went .', 'on vacation his family visited the windy city of chicago .', ""dustin 's baseball cap blew off his head and into the street ."", ""his dad waited until it was safe before getting dustin 's cap ."", 'he loved his baseball cap even though it was a little dirty .']",bathing cap,ObjectUse,protect furniture from hair dye,0
5321,"[""johnny 's uncle , bob , came by the house and said something to johnny ."", 'bob told johnny that today was the day he would become a man .', 'bob then took johnny out to a firing range .', 'bob showed johnny how to fire a weapon and hit a target .', 'johnny felt awesome , like he had taken a step forward in life .']",uncle,AtLocation,aunt's house,0
4654,"['carol was driving home from college .', 'she had three hours left and her phone died .', 'she realized she left her car charger behind .', 'she was worried about missing a call from her boyfriend .', 'but worrying caused her to miss her exit and she got lost with no gps .']",PersonX quickly left phone,isAfter,PersonX smells smoke from the other room,0
